location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2019-02-08T00:17:15Z,moderate,considerable,considerable,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">There is potential for triggering large avalanches treeline and below due to the presence of a persistent slab problem. </span><a href=""https://www.avalanche.ca/blogs/danger-lowdown"" target=""_blank""><span class=""s_9255B882"">Click here to see our Forecasters' Blog for a more detailed description of current conditions.</span></a><span class=""s_AA239A9B"" /></p>",The weather pattern is stable
Northwest Coastal,2019-02-08T01:02:16Z,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Areas closer to the coast have a bit of new snow available for outflow winds to build slabs with on Friday. Further inland, wind slabs of concern are likely limited to more extreme terrain in the alpine.</span></p>",
Northwest Inland,2019-02-08T01:02:35Z,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Thin new wind slabs are expected to form, just as larger, older ones trend toward stabilizing. Choose a supported line and raise your guard in the immediate lee of wind-exposed features.</span></p>",Due to the number of field observations
Sea To Sky,2019-02-08T23:57:11+00:00,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Stiff wind slabs may continue to be reactive to human triggers at upper elevations. Steep, unsupported terrain and wind-loaded features are most suspect.</span></p>",
South Coast Inland,2019-02-08T00:23:20Z,moderate,low,low,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Stiff wind slabs may continue to be reactive to human triggers. Loose dry sluffing is likely with the new snow.</span></p>",
South Coast,2019-02-08T23:55:18+00:00,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Stiff wind slabs in the alpine are decreasing in sensitivity to human triggers. Lingering reactive wind slabs are most likely in wind-loaded areas: below ridgelines, under cornices, and around steep, unsupported features.</span></p>",
North Columbia,2019-02-08T00:31:27+00:00,moderate,considerable,considerable,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">There is potential for triggering large avalanches treeline and below due to the presence of a persistent slab problem. </span><a href=""https://www.avalanche.ca/blogs/danger-lowdown"" target=""_blank""><span class=""s_9255B882"">Click here to see our Forecasters' Blog for a more detailed description of current conditions.</span></a><span class=""s_AA239A9B"" /></p><p class=""p_CC664AAA""><a href=""https://www.avalanche.ca/blogs/danger-lowdown"" target=""_blank"" /><span class=""s_AA239A9B"" /></p>",The weather pattern is stable
South Columbia,2019-02-08T23:43:13+00:00,moderate,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">There is potential for triggering large avalanches at and below treeline due to the presence of a persistent slab problem. </span><a href=""https://www.avalanche.ca/blogs/danger-lowdown"" target=""_blank""><span class=""s_9255B882"">Click here to see our Forecasters' Blog for a more detailed description of current conditions.</span></a><span class=""s_AA239A9B"" /></p><p class=""p_CC664AAA""><a href=""https://www.avalanche.ca/blogs/danger-lowdown"" target=""_blank"" /><span class=""s_AA239A9B"" /></p>",
Purcells,2019-02-08T00:44:23Z,moderate,considerable,considerable,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">There is potential for triggering large avalanches treeline and below due to the presence of a persistent slab problem. </span><a href=""https://www.avalanche.ca/blogs/danger-lowdown"" target=""_blank""><span class=""s_9255B882"">Click here to see our Forecasters' Blog for a more detailed description of current conditions.</span></a><span class=""s_AA239A9B"" /></p><p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span></p>",The weather pattern is stable
Kootenay Boundary,2019-02-08T00:41:40+00:00,moderate,moderate,moderate,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The persistent slab problem may be less reactive around the Rossland Range and Big White where less snow and an unconsolidated slab exists above the weak layer.</span><span class=""s_AA239A9B"">.</span></p>",
South Rockies,2019-02-08T01:01:52+00:00,moderate,moderate,moderate,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Check out the Forecasters' Blog </span><a href=""https://www.avalanche.ca/blogs/danger-lowdown"" target=""_blank""><span class=""s_9255B882"">here </span></a><span class=""s_AA239A9B"">for insight on the persistent slab problem emerging in the South Rockies.</span></p><p class=""p_CC664AAA""><span class=""s_AA239A9B"">A Special Public Avalanche Warning is in effect in this region.</span></p>",
Lizard Range and Flathead,2019-02-08T01:02:57+00:00,moderate,considerable,moderate,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Check out the Forecasters' Blog </span><a href=""https://www.avalanche.ca/blogs/danger-lowdown"" target=""_blank""><span class=""s_9255B882"">here </span></a><span class=""s_AA239A9B"">for insight on managing the persistent slab problem affecting the Lizard Range.</span></p><p class=""p_CC664AAA""><span class=""s_AA239A9B"">A Special Public Avalanche Warning is in effect in this region.</span></p>",
"Kananaskis Country, Alberta Parks",2019-02-08T23:00:00Z,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Temps are going polar again on the weekend.&nbsp; Small emergencies become very serious in these temps .&nbsp; Try to stay in the sun!</span></p>",
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2019-02-09T01:09:20+00:00,moderate,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">There is potential for triggering large avalanches treeline and below due to the presence of a persistent slab problem. </span><a href=""https://www.avalanche.ca/blogs/danger-lowdown"" target=""_blank""><span class=""s_9255B882"">Click here to see our Forecasters' Blog for a more detailed description of current conditions.</span></a><span class=""s_AA239A9B"" /></p>",
Northwest Coastal,2019-02-09T23:58:17+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The newest wind slabs are likely to be small, but are just as likely to be reactive to human triggering. Keep your brain turned on as stability improves.</span></p>",Wind effect is extremely variable
Northwest Inland,2019-02-09T23:49:45+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Keep seeking out low density snow in sheltered, low elevation zones for the safest, best skiing and riding.</span></p>",Wind effect is extremely variable
Sea To Sky,2019-02-09T23:40:01+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Stiff wind slabs may be reactive to human triggers at upper elevations. Steep, unsupported rolls and immediate lee terrain is most suspect.</span></p>",Wind effect is extremely variable
South Coast Inland,2019-02-09T23:38:14+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_E6FD2046"">Stiff wind slabs may be reactive to human triggers at upper elevations. Steep, unsupported rolls and immediate lee terrain is most suspect.</span><span class=""s_AA239A9B"" /></p>",Wind effect is extremely variable
South Coast,2019-02-09T23:41:38+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Strong outflow winds have produced stiff and firm wind slabs. Reactive wind slabs are most likely in wind-loaded areas: below ridgelines, under cornices, and around steep, unsupported features.</span></p>",Wind effect is extremely variable
North Columbia,2019-02-09T00:04:10+00:00,moderate,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Large human triggered avalanches continue to be triggered at and below treeline due to the presence of buried surface hoar. </span><a href=""https://www.avalanche.ca/blogs/danger-lowdown"" target=""_blank""><span class=""s_9255B882"">Click here to see our Forecasters' Blog for a more detailed description of current conditions.</span></a><span class=""s_AA239A9B"" /></p><p class=""p_CC664AAA""><a href=""https://www.avalanche.ca/blogs/danger-lowdown"" target=""_blank"" /><span class=""s_AA239A9B"" /></p>",
South Columbia,2019-02-08T23:43:13+00:00,moderate,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">There is potential for triggering large avalanches at and below treeline due to the presence of a persistent slab problem. </span><a href=""https://www.avalanche.ca/blogs/danger-lowdown"" target=""_blank""><span class=""s_9255B882"">Click here to see our Forecasters' Blog for a more detailed description of current conditions.</span></a><span class=""s_AA239A9B"" /></p><p class=""p_CC664AAA""><a href=""https://www.avalanche.ca/blogs/danger-lowdown"" target=""_blank"" /><span class=""s_AA239A9B"" /></p>",
Purcells,2019-02-09T00:41:01+00:00,moderate,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Large avalanches continue to be sensitive to human triggering due to the presence of buried surface hoar. </span><a href=""https://www.avalanche.ca/blogs/danger-lowdown"" target=""_blank""><span class=""s_9255B882"">Click here to see our Forecasters' Blog for a more detailed description of current conditions.</span></a><span class=""s_AA239A9B"" /></p><p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span></p>",
Kootenay Boundary,2019-02-09T00:03:31+00:00,moderate,moderate,moderate,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The persistent slab problem may be less reactive around the Rossland Range and Big White where less snow and an unconsolidated slab exists above the weak layer.</span></p>",
South Rockies,2019-02-09T00:53:07+00:00,moderate,moderate,moderate,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Check out the AvCan South Rockies blog for advice on managing the persistent slab problem affecting the region. </span><a href=""https://www.facebook.com/notes/avalanche-canada-south-rockies/layers-three-ways/2775699292505548/"" target=""_blank""><span class=""s_B5813F7D"">(Link Here)</span></a><span class=""s_AA239A9B"" /></p><p class=""p_CC664AAA""><a href=""https://www.facebook.com/notes/avalanche-canada-south-rockies/layers-three-ways/2775699292505548/"" target=""_blank"" /><span class=""s_3FE45715"">A Special Public Avalanche Warning is in effect in this region.</span></p>",
Lizard Range and Flathead,2019-02-09T00:45:35+00:00,moderate,considerable,moderate,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Check out the AvCan South Rockies blog for advice on managing the persistent slab problem affecting the region. </span><a href=""https://www.facebook.com/notes/avalanche-canada-south-rockies/layers-three-ways/2775699292505548/"" target=""_blank""><span class=""s_9255B882"">(Link Here)</span></a><span class=""s_AA239A9B"" /></p><p class=""p_CC664AAA""><span class=""s_AA239A9B"">A Special Public Avalanche Warning is in effect in this region.</span></p>",
"Kananaskis Country, Alberta Parks",2019-02-09T23:00:00Z,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Cold temperatures are still with us. Be smart with your back country choices. Even a small emergency can quickly become very serious with these climatic conditions.</span></p>",
